Run_accession	datePubli	sraID	BioSample	collection_date	geo_loc_name	lat_lon	list_extra	BioProject	title	abstract	ext_link_db	ext_link_id	ext_link_label	strain	isolate	specie	Isolate_accession_number	Isoniazid	Rifampicin	Ethambutol	Pyrazinamide	Streptomycin	Ciprofloxacin	Moxifloxacin	Ofloxacin	Amikacin	Capreomycin	Kanamycin
ERR552259	2015-06-23 06:52:04	ERA323280	SAMEA2534521				[{'ENA first public': '2015-06-22'}, {'ENA last update': '2014-05-15'}, {'External Id': 'SAMEA2534521'}, {'INSDC center alias': 'FZB'}, {'INSDC center name': 'FORSCHUNGSZENTRUM BORSTEL'}, {'INSDC first public': '2015-06-22T17:01:37Z'}, {'INSDC last update': '2014-05-15T10:22:02Z'}, {'INSDC status': 'public'}, {'Submitter Id': '10011-03'}, {'sample name': '10011-03'}]	PRJEB7727	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone						Mycobacterium tuberculosis complex sp.	ERS457923	R	S	R	S	R	No result	No result	No result	No result	No result	No result
ERR552260	2015-06-23 06:52:04	ERA323280	SAMEA2534521				[{'ENA first public': '2015-06-22'}, {'ENA last update': '2014-05-15'}, {'External Id': 'SAMEA2534521'}, {'INSDC center alias': 'FZB'}, {'INSDC center name': 'FORSCHUNGSZENTRUM BORSTEL'}, {'INSDC first public': '2015-06-22T17:01:37Z'}, {'INSDC last update': '2014-05-15T10:22:02Z'}, {'INSDC status': 'public'}, {'Submitter Id': '10011-03'}, {'sample name': '10011-03'}]	PRJEB7727	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone						Mycobacterium tuberculosis complex sp.	ERS457923	R	S	R	S	R	No result	No result	No result	No result	No result	No result
ERR552259	2015-06-23 06:52:04	ERA323280	SAMEA2534521				[{'ENA first public': '2015-06-22'}, {'ENA last update': '2014-05-15'}, {'External Id': 'SAMEA2534521'}, {'INSDC center alias': 'FZB'}, {'INSDC center name': 'FORSCHUNGSZENTRUM BORSTEL'}, {'INSDC first public': '2015-06-22T17:01:37Z'}, {'INSDC last update': '2014-05-15T10:22:02Z'}, {'INSDC status': 'public'}, {'Submitter Id': '10011-03'}, {'sample name': '10011-03'}]	PRJEB7727	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone						Mycobacterium tuberculosis complex sp.	ERS457923	R	S	R	S	R	No result	No result	No result	No result	No result	No result
ERR552260	2015-06-23 06:52:04	ERA323280	SAMEA2534521				[{'ENA first public': '2015-06-22'}, {'ENA last update': '2014-05-15'}, {'External Id': 'SAMEA2534521'}, {'INSDC center alias': 'FZB'}, {'INSDC center name': 'FORSCHUNGSZENTRUM BORSTEL'}, {'INSDC first public': '2015-06-22T17:01:37Z'}, {'INSDC last update': '2014-05-15T10:22:02Z'}, {'INSDC status': 'public'}, {'Submitter Id': '10011-03'}, {'sample name': '10011-03'}]	PRJEB7727	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone						Mycobacterium tuberculosis complex sp.	ERS457923	R	S	R	S	R	No result	No result	No result	No result	No result	No result
ERR552132	2015-06-23 06:52:04	ERA323280	SAMEA2534435				[{'ENA first public': '2015-06-22'}, {'ENA last update': '2014-05-15'}, {'External Id': 'SAMEA2534435'}, {'INSDC center alias': 'FZB'}, {'INSDC center name': 'FORSCHUNGSZENTRUM BORSTEL'}, {'INSDC first public': '2015-06-22T17:01:37Z'}, {'INSDC last update': '2014-05-15T10:21:59Z'}, {'INSDC status': 'public'}, {'Submitter Id': '10012-03'}, {'sample name': '10012-03'}]	PRJEB7727	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone						Mycobacterium tuberculosis complex sp.	ERS457837	S	S	S	S	R	No result	No result	No result	No result	No result	No result
ERR552308	2015-06-23 06:52:04	ERA323280	SAMEA2534557				[{'ENA first public': '2015-06-22'}, {'ENA last update': '2014-05-15'}, {'External Id': 'SAMEA2534557'}, {'INSDC center alias': 'FZB'}, {'INSDC center name': 'FORSCHUNGSZENTRUM BORSTEL'}, {'INSDC first public': '2015-06-22T17:01:37Z'}, {'INSDC last update': '2014-05-15T10:22:02Z'}, {'INSDC status': 'public'}, {'Submitter Id': '10205-03'}, {'sample name': '10205-03'}]	PRJEB7727	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone						Mycobacterium tuberculosis complex sp.	ERS457959	S	S	S	S	S	No result	No result	No result	No result	No result	No result
ERR552309	2015-06-23 06:52:04	ERA323280	SAMEA2534557				[{'ENA first public': '2015-06-22'}, {'ENA last update': '2014-05-15'}, {'External Id': 'SAMEA2534557'}, {'INSDC center alias': 'FZB'}, {'INSDC center name': 'FORSCHUNGSZENTRUM BORSTEL'}, {'INSDC first public': '2015-06-22T17:01:37Z'}, {'INSDC last update': '2014-05-15T10:22:02Z'}, {'INSDC status': 'public'}, {'Submitter Id': '10205-03'}, {'sample name': '10205-03'}]	PRJEB7727	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone						Mycobacterium tuberculosis complex sp.	ERS457959	S	S	S	S	S	No result	No result	No result	No result	No result	No result
ERR552310	2015-06-23 06:52:04	ERA323280	SAMEA2534557				[{'ENA first public': '2015-06-22'}, {'ENA last update': '2014-05-15'}, {'External Id': 'SAMEA2534557'}, {'INSDC center alias': 'FZB'}, {'INSDC center name': 'FORSCHUNGSZENTRUM BORSTEL'}, {'INSDC first public': '2015-06-22T17:01:37Z'}, {'INSDC last update': '2014-05-15T10:22:02Z'}, {'INSDC status': 'public'}, {'Submitter Id': '10205-03'}, {'sample name': '10205-03'}]	PRJEB7727	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone						Mycobacterium tuberculosis complex sp.	ERS457959	S	S	S	S	S	No result	No result	No result	No result	No result	No result
ERR552308	2015-06-23 06:52:04	ERA323280	SAMEA2534557				[{'ENA first public': '2015-06-22'}, {'ENA last update': '2014-05-15'}, {'External Id': 'SAMEA2534557'}, {'INSDC center alias': 'FZB'}, {'INSDC center name': 'FORSCHUNGSZENTRUM BORSTEL'}, {'INSDC first public': '2015-06-22T17:01:37Z'}, {'INSDC last update': '2014-05-15T10:22:02Z'}, {'INSDC status': 'public'}, {'Submitter Id': '10205-03'}, {'sample name': '10205-03'}]	PRJEB7727	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone						Mycobacterium tuberculosis complex sp.	ERS457959	S	S	S	S	S	No result	No result	No result	No result	No result	No result
ERR552309	2015-06-23 06:52:04	ERA323280	SAMEA2534557				[{'ENA first public': '2015-06-22'}, {'ENA last update': '2014-05-15'}, {'External Id': 'SAMEA2534557'}, {'INSDC center alias': 'FZB'}, {'INSDC center name': 'FORSCHUNGSZENTRUM BORSTEL'}, {'INSDC first public': '2015-06-22T17:01:37Z'}, {'INSDC last update': '2014-05-15T10:22:02Z'}, {'INSDC status': 'public'}, {'Submitter Id': '10205-03'}, {'sample name': '10205-03'}]	PRJEB7727	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone	Whole Genome Sequencing of Mycobacterium tuberculosis complex isolates from Sierra Leone						Mycobacterium tuberculosis complex sp.	ERS457959	S	S	S	S	S	No result	No result	No result	No result	No result	No result
